human,rat,mouse
CPHXL,Cphx1,Cphx1
TMEM130,Tmem130,Tmem130
CPS1,Cps1,Cps1
ENTR1,Entr1,Entr1
UNC5CL,Unc5cl,Unc5cl
YIPF6,Yipf6,Yipf6
RFFL,Rffl,Rffl
MUC13,Muc13,Muc13
TMEM254,Tmem254,Tmem254a
NPTX2,Nptx2,Nptx2
FBXO36,Fbxo36,Fbxo36
TOR1A,Tor1a,Tor1a
MIEF1,Mief1,Mief1
SULT1C2,Sult1c2a,Sult1c2
SULT1C2,LOC100910057,Sult1c2
SULT1C2,RGD1562392,Sult1c2
SULT1C2,Sult1c2,Sult1c2
SULT1C2,LOC100910526,Sult1c2
SULT1C2,LOC100910526,Sult1c2
SULT1C2,RGD1559960,Sult1c2
ZSCAN25,Zscan25,Zscan25
GPC6,Gpc6,Gpc6
NOL8,Nol8,Nol8
NOL8,Nol8,Nol8
ATL2,Atl2,Atl2
URGCP,Urgcp,Urgcp
ABL1,LOC100909750,Abl1
ABL1,LOC100909750,Abl1
CLPS,Clps,Clps
IP6K3,Ip6k3,Ip6k3
MARF1,Marf1,Marf1
QRFP,Qrfp,Qrfp
QRFP,Qrfp,Qrfp
UBE2A,Ube2a,Ube2a
TSR2,Tsr2,Tsr2
TSR2,Tsr2,Tsr2
SLC6A17,Slc6a17,Slc6a17
LRRC69,Lrrc69,Lrrc69
FAM25G,Fam25a,Fam25c
UQCC2,Uqcc2,Uqcc2
SLC25A5,Slc25a5,Slc25a5
RPS19BP1,Rps19bp1,Rps19bp1
ZBTB9,Zbtb9,Zbtb9
ZBTB9,Zbtb9,Gm50253
KCNA3,Kcna3,Kcna3
PPIA,Ppia,Ppia
MSH2,Msh2,Msh2
PAFAH1B1,Pafah1b1,Pafah1b1
CBR3,Cbr3,Cbr3
PARN,Parn,Parn
TMLHE,Tmlhe,NA
NLGN1,Nlgn1,Nlgn1
HIVEP2,Hivep2,Hivep2
FIBCD1,Fibcd1,Fibcd1
TRIM15,Trim15,Trim15
OR12D3,Olr1868,Olfr109
CBR1,LOC102556347,Cbr1
CBR1,LOC102556347,Gm5678
CBR1,LOC108348130,Cbr1
CBR1,LOC108348130,Gm5678
CBR1,Cbr1,Cbr1
CBR1,Cbr1,Gm5678
SEPTIN6,Septin6,Septin6
ABLIM1,AABR07007032.1,Ablim1
SLC26A7,Slc26a7,Slc26a7
STIM1,Stim1,Stim1
MYOT,LOC100909761,Myot
MYOT,LOC100909761,Myot
UPF3B,Upf3b,Upf3b
DPYD,Dpyd,Dpyd
ABCF1,Abcf1,Abcf1
AKR1B1,Akr1b1,Akr1b3
TRIM10,Trim10,Trim10
STEEP1,RGD1564541,C330007P06Rik
SRPK1,Srpk1,Srpk1
TCP1,Tcp1,Tcp1
EFHD1,Efhd1,Efhd1
PLCH1,Plch1,Plch1
FAM178B,Fam178b,Fam178b
LDB3,Ldb3,Ldb3
CERKL,Cerkl,Cerkl
EFTUD2,Eftud2,Eftud2
BAIAP2L1,Baiap2l1,Baiap2l1
ACAT2,Acat2l1,Acat3
ACAT2,Acat2l1,Acat2
IMP4,Imp4,Imp4
FAM160B1,Fam160b1,Fam160b1
TCAF2,Tcaf2,Tcaf2
BAK1,Bak1,Bak1
RALYL,Ralyl,Ralyl
ITGA4,Itga4,Itga4
KCNA2,Kcna2,Kcna2
RUFY4,Rufy4,Rufy4
AFAP1L2,Afap1l2,Afap1l2
GRTP1,AABR07026536.1,Grtp1
GRTP1,Grtp1,Grtp1
CCDC103,Ccdc103,Ccdc103
SOWAHD,Sowahd,Sowahd
NKRF,Nkrf,Nkrf
GDF6,Gdf6,Gdf6
FAM155B,Fam155b,Tmem28
SLC31A2,Slc31a2,Slc31a2
TCAF2C,Tcaf2,Tcaf2
CACYBP,Cacybp,Cacybp
ACO2,Aco2,Aco2
RABGAP1L,Rabgap1l,Rabgap1l
CEP41,Cep41,Cep41
LHFPL5,Lhfpl5,Lhfpl5
DNAJC3,Dnajc3,Dnajc3
PGAP2,Pgap2,Pgap2
PJA1,Pja1,Pja1
LGSN,Lgsn,Lgsn
PRR3,Prr3,Prr3
ITPR3,Itpr3,Itpr3
TMCO3,LOC103693999,Tmco3
TMCO3,LOC103693999,Tmco3
EXOSC2,Exosc2,Exosc2
FAM25C,Fam25a,Fam25c
EDA,Eda,Eda
MXI1,Mxi1,Mxi1
CCDC115,Ccdc115,Ccdc115
FAM25A,Fam25a,Fam25c
MAPK10,Mapk10,Mapk10
WNK3,Wnk3,Wnk3
TRIM26,Trim26,Trim26
CNRIP1,Cnrip1,Cnrip1
ENTHD1,Enthd1,Enthd1
SMNDC1,Smndc1,Smndc1
ZFP37,Zfp37,Zfp37
PLEK,Plek,Plek
RHOG,Rhog,Rhog
SEMA4C,Sema4c,Sema4c
FNBP1,Fnbp1,Fnbp1
IARS1,Iars1,Iars
MRPL18,Mrpl18,Mrpl18
CLPSL2,Clpsl2,Clpsl2
EIF4E2,Eif4e2,Eif4e2
VTA1,Vta1,Vta1
DCUN1D2,NEWGENE_1582994,Dcun1d2
DCUN1D2,NEWGENE_1582994,Dcun1d2
GIGYF2,Gigyf2,Gigyf2
KCNJ13,Kcnj13,Kcnj13
RPL39,LOC103693375,Rpl39
RPL39,LOC103693375,Rpl39
RPL39,LOC103693375,Rpl39
RPL39,LOC103693375,Rpl39
RPL39,LOC103693375,Rpl39
RPL39,LOC103693375,Rpl39
RPL39,LOC103693375,Rpl39
ALX3,Alx3,Alx3
OGN,Ogn,Ogn
OGN,Ogn,Ogn
MCTP1,Mctp1,Mctp1
INSR,Insr,Insr
CD96,Cd96,Cd96
RRM1,Rrm1,Rrm1
WDR92,Wdr92,Wdr92
GUCY1A2,Gucy1a2,Gucy1a2
CASP8AP2,Casp8ap2,Casp8ap2
FANCM,Fancm,Fancm
NLE1,Nle1,Nle1
CUL4A,Cul4a,Cul4a
NCEH1,Nceh1,Nceh1
LMTK2,Lmtk2,Lmtk2
DNAJC17,Dnajc17,Dnajc17
,Snrpd3,Snrpd3
RCN1,Rcn1,Rcn1
RAD51D,Rad51d,Rad51d
C6orf89,RGD735065,BC004004
NELFE,Nelfe,Nelfe
SHANK3,Shank3,Shank3
MAPK13,Mapk13,Mapk13
PEAR1,Pear1,Pear1
PDZD11,Pdzd11,Pdzd11
ARR3,Arr3,Arr3
ECM2,LOC100910978,Ecm2
TRDN,Trdn,Trdn
,Ddt,Ddt
ZAR1L,AABR07034923.1,Zar1l
MTCH1,Mtch1,Mtch1
USP13,Usp13,Usp13
DCP2,LOC103690064,Dcp2
SERPINC1,Serpinc1,Serpinc1
NMBR,Nmbr,Nmbr
NMBR,Nmbr,Nmbr
COMP,Comp,Comp
ALAD,Alad,Alad
STK38,Stk38,Stk38
TERB1,Terb1,Terb1
DGAT2L6,Dgat2l6,Dgat2l6
BRPF3,Brpf3,Brpf3
ARPC2,Arpc2,Arpc2
DKC1,Dkc1,Dkc1
CSTF3,Cstf3,Cstf3
HDHD3,Hdhd3,Hdhd3
FUBP3,Fubp3,Fubp3
KCNK12,Kcnk12,Kcnk12
PPIL1,Ppil1,Ppil1
ACVR1B,Acvr1b,Acvr1b
DGKE,Dgke,Dgke
GMPS,Gmps,Gmps
NKAP,Nkap,Nkap
GGTLC2,Ggt1,Ggt1
TIE1,Tie1,Tie1
SLFN13,Slfn13,Slfn9
SLFN13,Slfn13,Slfn8
TAMALIN,Grasp,Tamalin
BRMS1L,Brms1l,Brms1l
BRMS1L,Brms1l,Brms1l
BRMS1L,Brms1l,Brms1l
MSH6,Msh6,Msh6
ENOX2,Enox2,Enox2
EVI5L,Evi5l,Evi5l
GALNT17,Galnt17,Galnt17
C1orf210,RGD1305347,2610528J11Rik
OTUD6B,Otud6b,Otud6b
C8orf88,LOC100912373,NA
CUL1,Cul1,Cul1
MNT,Mnt,Mnt
ZBED9,Zbed5,Zbed5
MCUB,Mcub,Mcub
CASP6,Casp6,Casp6
CASP6,Casp6,Casp6
LARS1,Lars1,Lars
TRIM68,Trim68,Trim68
LSS,Lss,Lss
AFF2,Aff2,Aff2
AFF2,Aff2,Aff2
AAMP,Aamp,Aamp
TG,Tg,Tg
C3orf33,RGD1565059,E130311K13Rik
PDXDC1,Pdxdc1,Pdxdc1
PDXDC1,Pdxdc1,Pdxdc1
COX5B,Cox5b,Cox5b-ps
COX5B,Cox5b,Cox5b
LRRC75B,Lrrc75b,Lrrc75b
DARS2,Dars2,Dars2
BFAR,Bfar,Bfar
FBXO11,Fbxo11,Fbxo11
MRPS18B,Mrps18b,Mrps18b
PNLDC1,Pnldc1,Pnldc1
LRRC71,Lrrc71,Lrrc71
MAGEB6,Magebl1,Mageb2
MAGEB6,Magebl1,Mageb6b1
MAGEB6,Magebl1,Mageb6b2
MAGEB6,Magebl1,Mageb1
MAGEB6,Magebl1,Mageb3
MAGEB6,MGC114483,Mageb2
MAGEB6,MGC114483,Mageb6b1
MAGEB6,MGC114483,Mageb6b2
MAGEB6,MGC114483,Mageb1
MAGEB6,MGC114483,Mageb3
NTAN1,Ntan1,Ntan1
ARHGAP36,Arhgap36,Arhgap36
ZIC3,Zic3,Zic3
FSIP2,Fsip2,Fsip2
LEMD2,LOC108348120,Lemd2
LEMD2,LOC108348120,Lemd2
MAPK14,Mapk14,Mapk14
ATAT1,Atat1,Atat1
CCZ1,Ccz1b,Ccz1
GGT2,Ggt1,Ggt1
GGT1,Ggt1,Ggt1
ECT2,Ect2,Ect2
CENPP,Cenpp,Cenpp
PRDM12,Prdm12,Prdm12
PPP3R1,AABR07016428.1,Ppp3r1
PPP3R1,Ppp3r1,Ppp3r1
GGT5,AABR07044631.2,Ggt5
UNC45B,Unc45b,Unc45b
OCM,Ocm2,Ocm
ZBTB37,Zbtb37,Zbtb37
RRN3,Rrn3,Rrn3
SLA,Sla,Sla
GPBAR1,Gpbar1,Gpbar1
SEC24B,Sec24b,Sec24b
EGF,LOC108348190,Egf
EGF,LOC108348190,Egf
EGF,LOC108348190,Egf
STXBP4,Stxbp4,Stxbp4
SPATA16,Spata16,Spata16
LAMP1,Lamp1,Lamp1
UPF1,Upf1,Upf1
AWAT2,Awat2,Awat2
COX11,Cox11,Cox11
COX11,Cox11,Cox11
SMLR1,Smlr1,Smlr1
MORC3,Morc3,Morc3
DDTL,Ddt,Ddt
C1D,C1d,C1d
AKAP14,Akap14,Akap14
TRIM21,Trim21,Trim21
ACTR1B,Actr1b,Actr1b
HMCN1,Hmcn1,Hmcn1
,Cfb,Cfb
,Cfb,Gm20547
,Cfb,Cfb
,Cfb,Gm20547
OR5V1,Olr1730,Olfr110
OR5V1,Olr1730,Olfr111
OR5V1,Olr1730,Olfr110
OR5V1,Olr1730,Olfr111
NEUROD1,Neurod1,Neurod1
UBE3C,Ube3c,Ube3c
OTUD6A,Otud6a,Otud6a
BHLHA15,Bhlha15,Bhlha15
CLVS2,Clvs2,Clvs2
AWAT1,Awat1,Awat1
MAPT,Mapt,Mapt
MLPH,Mlph,Mlph
PHF8,Phf8,Phf8
BRI3,Bri3,Bri3
SGSM2,Sgsm2,Sgsm2
CMTM5,Cmtm5,Cmtm5
SLFN5,Slfn5,Slfn5
FNDC8,Fndc8,Fndc8
CCZ1B,Ccz1b,Ccz1
GLRX,Glrx,Glrx
CABIN1,Cabin1,Cabin1
SUSD2,Susd2,Susd2
IL25,Il25,Il25
IGBP1,Igbp1,Igbp1
PI16,Pi16,Pi16
FAM187A,FAM187A,Fam187a
PPP1R10,Ppp1r10,Ppp1r10
PNO1,Pno1,Pno1
RALBP1,AABR07011057.2,Ralbp1
RALBP1,AABR07011057.1,Ralbp1
OMD,LOC103690116,Omd
OMD,LOC103690116,Omd
GGTLC3,Ggt1,Ggt1
FAM120C,AABR07037451.2,Fam120c
OPN4,Opn4,Opn4
FKBP3,Fkbp3,Fkbp3
CXCR1,Cxcr1,Cxcr1
SLC33A1,Slc33a1,Slc33a1
,Rcn1,Rcn1
OCM2,Ocm2,Ocm
GALNTL5,Galntl5,Galntl5
COPS8,Cops8,Cops8
SUPT16H,Supt16h,Supt16
C2,C2,C2
PNPLA1,Pnpla1,Pnpla1
LRRC4C,Lrrc4c,Lrrc4c
RNF113B,Rnf113a1,Rnf113a1
RNF113B,Rnf113a1,Rnf113a1
BRCA2,Brca2,Brca2
GALNT11,Galnt11,Galnt11
PXT1,Pxt1,Pxt1
DDT,Ddt,Ddt
DDT,Ddt,Ddt
FRMD7,Frmd7,Frmd7
NDUFA1,LOC108348144,Ndufa1
SRSF3,Srsf3,Srsf3
RXRB,Rxrb,Rxrb
NAE1,Nae1,Nae1
NKAIN2,Nkain2,Nkain2
P2RY4,P2ry4,P2ry4
ASPN,Aspn,Aspn
GFAP,Gfap,Gfap
PNKD,Pnkd,Pnkd
CHCHD2,LOC100911516,Chchd2
CHCHD2,LOC100911516,Chchd2
CNGA3,Cnga3,Cnga3
PHKG1,Phkg1,Phkg1
CFB,Cfb,Cfb
CFB,Cfb,Gm20547
CFB,Cfb,Cfb
CFB,Cfb,Gm20547
IGBP1P2,Igbp1,Igbp1
NCF1,Ncf1,Ncf1
ARHGAP24,Arhgap24,Arhgap24
CXCR2,Cxcr2,Cxcr2
ASS1,Ass1,Ass1
DOP1B,Dop1b,Dop1b
FAM3B,Fam3b,Fam3b
SHANK1,Shank1,Shank1
SKIV2L,Skiv2l,Skiv2l
PIP4P2,Pip4p2,Pip4p2
TECPR1,Tecpr1,Tecpr1
SLC39A7,Slc39a7,Slc39a7
TMBIM1,Tmbim1,Tmbim1
EPCAM,Epcam,Epcam
DXO,Dxo,Dxo
GGTLC1,Ggt1,Ggt1
KCTD20,Kctd20,Kctd20
SLC26A8,Slc26a8,Slc26a8
RNF113A,Rnf113a1,Rnf113a1
RNF113A,Rnf113a1,Rnf113a1
RBMX2,Rbmx2,Rbmx2
METTL16,Mettl16,Mettl16
KIF18B,Kif18b,Kif18b
MAGEB6B,Magebl1,Mageb2
MAGEB6B,Magebl1,Mageb6b1
MAGEB6B,Magebl1,Mageb6b2
MAGEB6B,Magebl1,Mageb1
MAGEB6B,Magebl1,Mageb3
MAGEB6B,MGC114483,Mageb2
MAGEB6B,MGC114483,Mageb6b1
MAGEB6B,MGC114483,Mageb6b2
MAGEB6B,MGC114483,Mageb1
MAGEB6B,MGC114483,Mageb3
MCC,Mcc,Mcc
ZNF280B,LOC103690173,Zfp280b
DHX16,Dhx16,Dhx16
EXOC2,Exoc2,Exoc2
EXOC2,LOC103689971,Exoc2
PCID2,Pcid2,Pcid2
HSF4,Hsf4,Hsf4
TEX11,Tex11,Tex11
,Slfn2,Slfn2
,Slfn2,Slfn1
,Slfn2,Slfn4
,Slfn2,Slfn3
,Slfn4,Slfn2
,Slfn4,Slfn1
,Slfn4,Slfn4
,Slfn4,Slfn3
TAP2,Tap2,Tap2
HOXA10,LOC100912608,Hoxa10
HOXA10,LOC100912608,Hoxa10
EIF2S3B,Eif2s3,Eif2s3y
EIF2S3B,Eif2s3,Eif2s3x
PAPPA,Pappa1,Pappa
SMARCE1,Smarce1,Smarce1
PROZ,Proz,Proz
WDFY3,Wdfy3,Wdfy3
KRT24,Krt24,Krt24
LRRTM4,Lrrtm4,Lrrtm4
C16orf90,RGD1561796,1700037C18Rik
C16orf90,RGD1561796,1700037C18Rik
HAUS2,LOC691918,Haus2
HAUS2,LOC691918,Haus2
HAUS2,LOC691918,Haus2
HAUS2,LOC691918,Haus2
NOL6,Nol6,Nol6
RHBG,Rhbg,Rhbg
RHBG,Rhbg,Gm38392
C1orf105,RGD1309106,4930558K02Rik
UBAP2,Ubap2,Ubap2
RNF6,Rnf6,Rnf6
APOBEC4,Apobec4,Apobec4
GPR50,Gpr50,NA
FOXO3,Foxo3,Foxo3
TIMM10B,Timm10b,Gm45799
,Ace3,Ace3
EBF1,Ebf1,Ebf1
PREP,Prep,Prep
MIS18BP1,Mis18bp1,Mis18bp1
ZNF586,LOC103694540,Zfy1
ZNF586,LOC103694540,Zfy2
ZNF586,LOC103694540,Zfp956
SFSWAP,Sfswap,Sfswap
TMEM79,Tmem79,Tmem79
RPP21,Rpp21,Rpp21
RPP21,Rpp21,Rpp21
PRDX6,Prdx6,Prdx6
PRDX6,Prdx6,Prdx6b
MDC1,Mdc1,Mdc1
EEF1AKMT1,Eef1akmt1,Eef1akmt1
LTB,Ltb,Ltb
PAQR6,Paqr6,Paqr6
ZNF345,Zfp11,Zfp11
KRT12,Krt12,Krt12
MAGEB18,Mageb18,Mageb18
KRT26,Krt26,Krt26
KRT7,Krt7,Krt7
OR2AG1,Olr206,Olfr693
OR2AG1,Olr206,Olfr694
OR2AG1,Olr206,Olfr695
OR2AG1,Olr206,Olfr697
OR2AG1,Olr206,Olfr698
OR2AG1,Olr206,Olfr699
OR2AG1,Olr206,Olfr700
OR2AG1,Olr206,Olfr703
OR2AG1,Olr206,Olfr704
OR2AG1,Olr206,Olfr705
OR2AG1,Olr205,Olfr693
OR2AG1,Olr205,Olfr694
OR2AG1,Olr205,Olfr695
OR2AG1,Olr205,Olfr697
OR2AG1,Olr205,Olfr698
OR2AG1,Olr205,Olfr699
OR2AG1,Olr205,Olfr700
OR2AG1,Olr205,Olfr703
OR2AG1,Olr205,Olfr704
OR2AG1,Olr205,Olfr705
OR2AG1,Olr204,Olfr693
OR2AG1,Olr204,Olfr694
OR2AG1,Olr204,Olfr695
OR2AG1,Olr204,Olfr697
OR2AG1,Olr204,Olfr698
OR2AG1,Olr204,Olfr699
OR2AG1,Olr204,Olfr700
OR2AG1,Olr204,Olfr703
OR2AG1,Olr204,Olfr704
OR2AG1,Olr204,Olfr705
KRT40,Krt40,Krt40
KRTAP29-1,AABR07030471.1,Krtap29-1
KRTAP29-1,AABR07030471.1,Gm10153
KRTAP29-1,AABR07072181.4,Krtap29-1
KRTAP29-1,AABR07072181.4,Gm10153
DPYSL5,Dpysl5,Dpysl5
GLMP,Glmp,Glmp
ZNF154,LOC103694540,Zfy1
ZNF154,LOC103694540,Zfy2
PAF1,Paf1,Paf1
KRT39,Krt39,Krt39
TSR1,Tsr1,Tsr1
NSRP1,Nsrp1,Nsrp1
RPS16,Rps16,Rps16
C4B,C4a,C4b
ZNF562,LOC103694540,Zfy1
ZNF562,LOC103694540,Zfy2
ZNF562,LOC103694540,Zfp956
GCKR,Gckr,Gckr
PLEKHG2,Plekhg2,Plekhg2
PMF1,Pmf1,Pmf1
MAGEB6B,Mageb4,Mageb2
MAGEB6B,Mageb4,Mageb6b1
MAGEB6B,Mageb4,Mageb6b2
MAGEB6B,Mageb4,Mageb1
MAGEB6B,Mageb4,Mageb3
TAP1,Tap1,Tap1
SLC39A10,Slc39a10,Slc39a10
FASLG,Faslg,Fasl
ATP5IF1,Atp5if1,Atpif1
ZMYND12,Zmynd12,Zmynd12
HMGB3,LOC688583,NA
HMGB3,LOC688583,NA
HMGB3,LOC688583,NA
ERCC5,Ercc5,Bivm
ERCC5,Ercc5,Ercc5
PSMB8,Psmb8,Psmb8
ST3GAL1,St3gal1,St3gal1
ASTN2,Astn2,Astn2
FAM172A,Fam172a,Fam172a
SLC7A3,Slc7a3,Slc7a3
ADGRL2,Adgrl2,Adgrl2
NPC1,Npc1,Npc1
CDKAL1,Cdkal1,Cdkal1
NUP214,Nup214,Nup214
SLFN14,AC118772.1,Slfn14
HLA-DMA,RT1-DMa,H2-DMa
CUL3,Cul3,Cul3
PHLDB2,Phldb2,Phldb2
EBNA1BP2,LOC108348080,Ebna1bp2
EBNA1BP2,LOC108348080,Ebna1bp2
EBNA1BP2,Ebna1bp2,Ebna1bp2
EBNA1BP2,Ebna1bp2,Ebna1bp2
THEM6,Them6,Them6
GABRG3,Gabrg3,Gabrg3
ZFX,Zfx,Zfx
WASF3,Wasf3,Wasf3
SLC37A2,Slc37a2,Slc37a2
KDM5C,Kdm5c,Kdm5c
CNTLN,Cntln,Cntln
ANXA10,Anxa10,Anxa10
SELENOI,Selenoi,Selenoi
TRIM32,Trim32,Trim32
IVNS1ABP,Ivns1abp,Ivns1abp
HUS1B,LOC103690165,Hus1b
HUS1B,Hus1b,Hus1b
,Mpv17l,Mpv17l
CYB561,Cyb561,Cyb561
GAS2L2,Gas2l2,Gas2l2
C3orf52,LOC685680,BC016579
ZNF134,LOC103694540,Zfy1
ZNF134,LOC103694540,Zfy2
ST6GALNAC3,St6galnac3,St6galnac3
NTRK1,Ntrk1,Ntrk1
KRTAP1-1,Krtap1-5,Krtap1-5
ATG101,Atg101,Atg101
HEATR9,Heatr9,Heatr9
HSPA4L,Hspa4l,Hspa4l
FAM160A1,Fam160a1,Fam160a1
ZBTB17,Zbtb17,Zbtb17
FAT4,Fat4,Fat4
ELOC,AABR07044940.1,Eloc
NDRG1,Ndrg1,Ndrg1
RASL10B,LOC103694863,Rasl10b
PDGFD,Pdgfd,Pdgfd
KRTAP4-12,LOC108348235,Krtap4-7
KRTAP4-12,LOC108348235,Gm11555
KRTAP4-12,LOC108348235,Krtap4-7
KRTAP4-12,LOC108348235,Gm11555
KRTAP4-12,LOC680396,Krtap4-7
KRTAP4-12,LOC680396,Gm11555
KRTAP4-12,LOC100910814,Krtap4-7
KRTAP4-12,LOC100910814,Gm11555
GABBR1,Gabbr1,Gabbr1
SH2D2A,Sh2d2a,Sh2d2a
,LOC103694540,Zfy1
,LOC103694540,Zfy2
,LOC103694540,Zfp956
FLOT1,Flot1,Flot1
SLC9C1,Slc9c1,Slc9c1
SMG6,Smg6,Smg6
PSPC1,Pspc1,Pspc1
PPA2,Ppa2,Ppa2
MPHOSPH8,AABR07018038.3,Mphosph8
MPHOSPH8,Mphosph8,Mphosph8
ABCF2,Abcf2,Abcf2
KDM4C,Kdm4c,Kdm4c
ESR2,Esr2,Esr2
MAPKAP1,AABR07051501.1,Mapkap1
COPE,Cope,Cope
KRTAP1-5,Krtap1-5,Krtap1-5
MDN1,AABR07047789.1,Mdn1
CCT6A,Cct6a,Cct6a
PSMB9,Psmb9,Psmb9
LAMA3,AABR07031193.1,Lama3
ADCY9,Adcy9,Adcy9
NDUFS6,LOC100912599,Ndufs6
NDUFS6,LOC100912599,Ndufs6
NDUFS6,LOC679739,Ndufs6
ASB17,Asb17,Asb17
PMS2,Pms2,Pms2
PMS2,Pms2,Gm42421
MED29,Med29,Med29
DCP2,LOC100909830,Dcp2
ZNF837,LOC103694540,Zfy1
ZNF837,LOC103694540,Zfy2
KRTAP10-11,Krtap1-1,Krtap1-4
KRTAP10-11,Krtap1-1,Krtap1-3
KRTAP10-11,Krtap1-1,Krtap9-3
KRTAP10-11,Krtap1-1,Gm19402
KRTAP10-11,Krtap1-1,Gm9508
KRTAP10-11,Krtap1-1,Gm18596
KRTAP10-11,Krtap1-1,Gm9736
KRTAP10-11,Krtap1-1,Gm3233
KRTAP10-11,Krtap1-1,Gm3238
KRTAP10-11,Krtap1-1,Gm7138
KRTAP10-11,Krtap1-1,Gm3250
KRTAP10-11,Krtap1-1,Gm7137
KRTAP10-11,Krtap1-1,Gm9639
KRTAP10-11,Krtap1-1,Gm19668
KRTAP10-11,Krtap1-1,Gm9507
KRTAP10-11,Krtap1-1,Gm49918
KRTAP10-11,Krtap1-1,Krtap10-4
KRTAP10-11,Krtap1-1,Krtap10-10
KRTAP10-11,Krtap1-1,Gm36176
KRTAP10-11,Krtap1-1,Gm10318
KRTAP10-11,Krtap1-1,Gm3285
KRTAP10-11,Krtap1-1,Gm45618
KRTAP10-11,Krtap1-1,Krtap5-2
KRTAP10-11,Krtap1-1,Gm40460
KRTAP10-11,Krtap1-1,Gm4559
KRTAP10-11,Krtap1-3,Krtap1-4
KRTAP10-11,Krtap1-3,Krtap1-3
KRTAP10-11,Krtap1-3,Krtap9-3
KRTAP10-11,Krtap1-3,Gm19402
KRTAP10-11,Krtap1-3,Gm9508
KRTAP10-11,Krtap1-3,Gm18596
KRTAP10-11,Krtap1-3,Gm9736
KRTAP10-11,Krtap1-3,Gm3233
KRTAP10-11,Krtap1-3,Gm3238
KRTAP10-11,Krtap1-3,Gm7138
KRTAP10-11,Krtap1-3,Gm3250
KRTAP10-11,Krtap1-3,Gm7137
KRTAP10-11,Krtap1-3,Gm9639
KRTAP10-11,Krtap1-3,Gm19668
